PTS_DIFF,FG_PCT_DIFF,FG3_PCT_DIFF,REB_DIFF,AST_DIFF,PLUS_MINUS_DIFF,A_HOME,A_WIN
12,0.061,0.056999999999999995,1,1,24.0,0,1
15,0.124,0.154,15,8,30.0,1,1
14,0.10900000000000004,-0.02799999999999997,8,3,28.0,0,1
15,0.08100000000000002,0.014999999999999958,6,3,30.0,0,1
14,0.061,-0.010000000000000009,9,5,28.0,1,1
-24,-0.003999999999999948,-0.19,-2,7,-48.0,0,0
-5,-0.04899999999999999,0.08400000000000002,2,3,-10.0,0,0
-25,-0.172,-0.15999999999999998,-14,-11,-50.0,1,0
28,0.15600000000000003,0.08800000000000002,13,18,56.0,0,1
8,-0.041000000000000036,-0.010000000000000009,-7,-1,16.0,1,1
27,0.09400000000000003,0.20400000000000001,5,-1,54.0,1,1
-8,-0.119,-0.026999999999999996,12,-1,-16.0,1,0
4,0.03600000000000003,0.07800000000000001,3,7,8.0,0,1
-12,-0.020000000000000018,0.045999999999999985,2,0,-24.0,1,0
9,0.02999999999999997,0.16100000000000003,3,2,18.0,0,1
9,-0.034999999999999976,0.030000000000000027,9,0,18.0,1,1
-12,-0.027000000000000024,0.11099999999999999,-26,-4,-24.0,0,0
7,0.041000000000000036,0.226,-5,-4,14.0,0,1
23,0.07799999999999996,0.09199999999999997,9,12,46.0,1,1
-8,-0.08900000000000002,0.010000000000000009,-17,-9,-16.0,1,0
-20,-0.11399999999999993,-0.007000000000000006,1,-9,-40.0,1,0
9,0.07200000000000006,-0.09199999999999997,-2,7,18.0,1,1
-8,-0.01699999999999996,0.006999999999999951,-4,0,-16.0,0,0
13,0.06,0.15400000000000003,2,9,26.0,0,1
8,0.016000000000000014,0.01699999999999996,2,-3,16.0,0,1
2,0.035999999999999976,-0.007000000000000006,13,1,4.0,1,1
43,0.184,0.305,18,9,86.0,1,1
-14,-0.062,-0.08200000000000002,-10,-2,-28.0,1,0
-10,-0.04200000000000004,-0.197,11,-5,-20.0,0,0
19,0.06,-0.025999999999999968,-5,10,38.0,0,1
37,0.137,0.16999999999999998,5,7,74.0,1,1
-2,-0.08499999999999996,-0.09699999999999998,3,11,-4.0,0,0
